athletic_net_id,name,short_name,city,state,league
school_westmont,Westmont,Westmont,,,
school_bellarmine_college_prep,Bellarmine College Prep,Bellarmine College Prep,,,
school_palo_alto,Palo Alto,Palo Alto,,,
school_st_francis_(mountain_view),St Francis (Mountain View),St Francis (Mountain View),,,
school_pioneer,Pioneer,Pioneer,,,
school_st_ignatius,St Ignatius,St Ignatius,,,
school_archbishop_mitty,Archbishop Mitty,Archbishop Mitty,,,
school_sacred_heart_cathedral,Sacred Heart Cathedral,Sacred Heart Cathedral,,,
school_leland,Leland,Leland,,,
school_prospect,Prospect,Prospect,,,
school_independence,Independence,Independence,,,
school_cupertino,Cupertino,Cupertino,,,
school_sequoia,Sequoia,Sequoia,,,
school_santa_teresa,Santa Teresa,Santa Teresa,,,
school_el_camino_(sacramento),El Camino (Sacramento),El Camino (Sacramento),,,
school_junipero_serra,Junipero Serra,Junipero Serra,,,
school_gilroy,Gilroy,Gilroy,,,
school_capuchino,Capuchino,Capuchino,,,
school_scotts_valley,Scotts Valley,Scotts Valley,,,
school_sierra,Sierra,Sierra,,,
school_valley_christian-sj,Valley Christian-SJ,Valley Christian-SJ,,,
school_pinewood,Pinewood,Pinewood,,,
school_north_monterey_county,North Monterey County,North Monterey County,,,
school_el_camino,El Camino,El Camino,,,
school_basis_independent_silicon_valley,BASIS Independent Silicon Valley,BASIS Independent Silicon Valley,,,
school_hillbrook,Hillbrook,Hillbrook,,,
school_stratford_prep_blackford,Stratford Prep Blackford,Stratford Prep Blackford,,,
school_fremont_christian,Fremont Christian,Fremont Christian,,,
school_andrew_hill,Andrew Hill,Andrew Hill,,,
school_soledad,Soledad,Soledad,,,
school_khan_lab,Khan Lab,Khan Lab,,,
school_presentation,Presentation,Presentation,,,
school_james_lick,James Lick,James Lick,,,
school_unattached,Unattached,Unattached,,,
school_gb_kirby,GB Kirby,GB Kirby,,,
school_abraham_lincoln_(sj),Abraham Lincoln (SJ),Abraham Lincoln (SJ),,,
