athletic_net_race_id,meet_athletic_net_id,name,gender,distance_meters,race_type,course_name
1026482,258377,"Womens 5,000 Meters Frosh/Soph Girls",F,5000,Frosh,"Quarry Lakes Regional Recreation Area, 5000 Meters"
1026484,258377,"Mens 5,000 Meters Freshmen Boys",M,5000,Frosh,"Quarry Lakes Regional Recreation Area, 5000 Meters"
1026485,258377,"Mens 5,000 Meters Coaches Race (M)",M,5000,Other,"Quarry Lakes Regional Recreation Area, 5000 Meters"
1026486,258377,"Mens 5,000 Meters Frosh/Soph Boys",M,5000,Frosh,"Quarry Lakes Regional Recreation Area, 5000 Meters"
1026487,258377,"Womens 5,000 Meters Girls Championship Race",F,5000,Other,"Quarry Lakes Regional Recreation Area, 5000 Meters"
1026488,258377,"Mens 5,000 Meters Boys Championship Race",M,5000,Other,"Quarry Lakes Regional Recreation Area, 5000 Meters"
1026490,258377,"Mens 5,000 Meters Varsity Boys Open",M,5000,Varsity,"Quarry Lakes Regional Recreation Area, 5000 Meters"
1026491,258377,"Mens 5,000 Meters Junior Varsity Boys",M,5000,JV,"Quarry Lakes Regional Recreation Area, 5000 Meters"
1026492,258377,"Mens 5,000 Meters Open Boys",M,5000,Other,"Quarry Lakes Regional Recreation Area, 5000 Meters"
1026493,258377,"Womens 5,000 Meters Coaches Race (F)",F,5000,Other,"Quarry Lakes Regional Recreation Area, 5000 Meters"
1026494,258377,"Womens 5,000 Meters Junior Varsity Girls",F,5000,JV,"Quarry Lakes Regional Recreation Area, 5000 Meters"
