athletic_net_race_id,meet_athletic_net_id,name,gender,distance_meters,race_type,course_name
1024153,257747,Mens 3 Miles Varsity Large School,M,4828,Varsity,"Hayward High School, 3 Miles"
1024155,257747,Womens 3 Miles Varsity Large School,F,4828,Varsity,"Hayward High School, 3 Miles"
1024156,257747,Womens 3 Miles Junior Varsity,F,4828,JV,"Hayward High School, 3 Miles"
1028973,257747,Mens 3 Miles FS Large School,M,4828,Other,"Hayward High School, 3 Miles"
1028974,257747,Mens 3 Miles Junior Varsity Large School,M,4828,JV,"Hayward High School, 3 Miles"
1028975,257747,Womens 3 Miles Frosh Soph,F,4828,Frosh,"Hayward High School, 3 Miles"
1028976,257747,Womens 3 Miles Varsity Girls Small Schools,F,4828,Varsity,"Hayward High School, 3 Miles"
1028977,257747,Mens 3 Miles Varsity Boys Small School,M,4828,Varsity,"Hayward High School, 3 Miles"
1028978,257747,Mens 3 Miles Frosh Boys Small School,M,4828,Frosh,"Hayward High School, 3 Miles"
1028979,257747,Mens 3 Miles Junior Varsity Boys Small Schools,M,4828,JV,"Hayward High School, 3 Miles"
