meet_athletic_net_id,name,gender,distance_meters,venue_name,athletic_net_id
208291,"2.13 Miles Freshman 1","M",3428,"Golden Gate Park","858067"
208291,"2.13 Miles Freshman 2","M",3428,"Golden Gate Park","858068"
208291,"2.13 Miles Sophomore 1","M",3428,"Golden Gate Park","858071"
208291,"2.13 Miles Sophomore 2","M",3428,"Golden Gate Park","858072"
208291,"2.78 Miles Non-Varsity 1","M",4474,"Golden Gate Park","858073"
208291,"2.78 Miles Non-Varsity 2","M",4474,"Golden Gate Park","858074"
208291,"2.78 Miles Varsity 1","M",4474,"Golden Gate Park","858078"
208291,"2.78 Miles Varsity 2","M",4474,"Golden Gate Park","858079"
208291,"2.13 Miles Frosh/Soph 1","F",3428,"Golden Gate Park","858069"
208291,"2.13 Miles Frosh/Soph 2","F",3428,"Golden Gate Park","858070"
208291,"2.78 Miles Non-Varsity","F",4474,"Golden Gate Park","858075"
208291,"2.78 Miles Varsity 1","F",4474,"Golden Gate Park","858076"
208291,"2.78 Miles Varsity 2","F",4474,"Golden Gate Park","858077"
207110,"2.13 Miles Freshmen  Boys","M",3428,"Crystal Springs","830614"
207110,"2.13 Miles Sophomore  Boys","M",3428,"Crystal Springs","830613"
207110,"2.95 Miles Junior  Boys","M",4748,"Crystal Springs","830612"
207110,"2.95 Miles Senior Boys","M",4748,"Crystal Springs","830611"
207110,"2.13 Miles Freshmen Girls","F",3428,"Crystal Springs","830618"
207110,"2.13 Miles Sophomore Girls","F",3428,"Crystal Springs","830617"
207110,"2.95 Miles Senior Girls","F",4748,"Crystal Springs","830615"
207110,"2.95 Miles Junior Girls","F",4748,"Crystal Springs","830616"
207239,"2.74 Miles Varsity 1","M",4410,"Montgomery Hill Park","831093"
207239,"2.74 Miles Varsity 2","M",4410,"Montgomery Hill Park","831094"
207239,"2.74 Miles Junior Varsity","M",4410,"Montgomery Hill Park","831097"
207239,"2.74 Miles Open","M",4410,"Montgomery Hill Park","831099"
207239,"2.74 Miles Varsity 1","F",4410,"Montgomery Hill Park","831095"
207239,"2.74 Miles Varsity 2","F",4410,"Montgomery Hill Park","831096"
207239,"2.74 Miles Junior Varsity","F",4410,"Montgomery Hill Park","831100"
207239,"2.74 Miles Open","F",4410,"Montgomery Hill Park","831101"
207240,"2.74 Miles Varsity 1","M",4410,"Montgomery Hill Park","831102"
207240,"2.74 Miles Varsity 2","M",4410,"Montgomery Hill Park","831103"
207240,"2.74 Miles Junior Varsity","M",4410,"Montgomery Hill Park","831106"
207240,"2.74 Miles Open","M",4410,"Montgomery Hill Park","831108"
207240,"2.74 Miles Varsity 1","F",4410,"Montgomery Hill Park","831104"
207240,"2.74 Miles Varsity 2","F",4410,"Montgomery Hill Park","831105"
207240,"2.74 Miles Junior Varsity","F",4410,"Montgomery Hill Park","831109"
207240,"2.74 Miles Open","F",4410,"Montgomery Hill Park","831110"
207835,"3,500 Meters Frosh-Soph Boys Small School","M",3500,"Woodward Park","833368"
207835,"3,500 Meters Frosh-Soph Boys Large School","M",3500,"Woodward Park","833366"
207835,"3,500 Meters J.V Boys","M",3500,"Woodward Park","833364"
207835,"5,000 Meters Varsity Boys Small School","M",5000,"Woodward Park","833361"
207835,"5,000 Meters Varsity Boys Large School","M",5000,"Woodward Park","833360"
207835,"3,500 Meters Frosh-Soph Girls Small School","F",3500,"Woodward Park","833369"
207835,"3,500 Meters Frosh-Soph Girls Large School","F",3500,"Woodward Park","833367"
207835,"3,500 Meters J.V Girls","F",3500,"Woodward Park","833365"
207835,"5,000 Meters Varsity Girls Small School","F",5000,"Woodward Park","833363"
207835,"5,000 Meters Varsity Girls Large School","F",5000,"Woodward Park","833362"
207137,"5,000 Meters Varsity","M",5000,"Baylands Park","830749"
207137,"5,000 Meters Frosh/Soph","M",5000,"Baylands Park","830750"
207137,"5,000 Meters Junior Varsity","M",5000,"Baylands Park","830751"
207137,"5,000 Meters Varsity","F",5000,"Baylands Park","830752"
207137,"5,000 Meters Frosh/Soph","F",5000,"Baylands Park","830753"
207137,"5,000 Meters Junior Varsity","F",5000,"Baylands Park","830754"
207241,"2.74 Miles Varsity 1","M",4410,"Montgomery Hill Park","831111"
207241,"2.74 Miles Varsity 2","M",4410,"Montgomery Hill Park","831112"
207241,"2.74 Miles Junior Varsity","M",4410,"Montgomery Hill Park","831115"
207241,"2.74 Miles Open","M",4410,"Montgomery Hill Park","831117"
207241,"2.74 Miles Varsity 1","F",4410,"Montgomery Hill Park","831113"
207241,"2.74 Miles Varsity 2","F",4410,"Montgomery Hill Park","831114"
207241,"2.74 Miles Junior Varsity","F",4410,"Montgomery Hill Park","831118"
207241,"2.74 Miles Open","F",4410,"Montgomery Hill Park","831119"
211486,"2.95 Miles Varsity- Mount Hamilton","M",4748,"Crystal Springs","883434"
211486,"2.95 Miles Varsity- Santa Teresa East","M",4748,"Crystal Springs","883435"
211486,"2.95 Miles Varsity- West Valley","M",4748,"Crystal Springs","883440"
211486,"2.95 Miles Varsity- Santa Teresa West","M",4748,"Crystal Springs","883441"
211486,"2.95 Miles Varsity- Mount Hamilton","F",4748,"Crystal Springs","883436"
211486,"2.95 Miles Varsity- Santa Teresa East","F",4748,"Crystal Springs","883437"
211486,"2.95 Miles Varsity- West Valley","F",4748,"Crystal Springs","883438"
211486,"2.95 Miles Varsity- Santa Teresa West","F",4748,"Crystal Springs","883439"
221066,"2.95 Miles Division 4","M",4748,"Crystal Springs","884712"
221066,"2.95 Miles Division 5","M",4748,"Crystal Springs","884714"
221066,"2.95 Miles Division 1","M",4748,"Crystal Springs","884716"
221066,"2.95 Miles Division 2","M",4748,"Crystal Springs","884718"
221066,"2.95 Miles Division 3","M",4748,"Crystal Springs","884720"
221066,"2.95 Miles Division 4","F",4748,"Crystal Springs","884711"
221066,"2.95 Miles Division 5","F",4748,"Crystal Springs","884713"
221066,"2.95 Miles Division 1","F",4748,"Crystal Springs","884715"
221066,"2.95 Miles Division 2","F",4748,"Crystal Springs","884717"
221066,"2.95 Miles Division 3","F",4748,"Crystal Springs","884719"
207543,"5,000 Meters Division IV","M",5000,"Woodward Park","857964"
207543,"5,000 Meters Division V","M",5000,"Woodward Park","857968"
207543,"5,000 Meters Division II","M",5000,"Woodward Park","857960"
207543,"5,000 Meters Division I","M",5000,"Woodward Park","857958"
207543,"5,000 Meters Division III","M",5000,"Woodward Park","857962"
207543,"5,000 Meters Division IV","F",5000,"Woodward Park","857965"
