athletic_net_id,name,short_name,city,state,league
school_de_la_salle,De La Salle,De La Salle,,,
school_tamalpais,Tamalpais,Tamalpais,,,
school_redwood_(larkspur),Redwood (Larkspur),Redwood (Larkspur),,,
school_granada,Granada,Granada,,,
school_terra_linda,Terra Linda,Terra Linda,,,
school_california_(san_ramon),California (San Ramon),California (San Ramon),,,
school_analy,Analy,Analy,,,
school_dublin,Dublin,Dublin,,,
school_vintage,Vintage,Vintage,,,
school_sequoia,Sequoia,Sequoia,,,
school_dougherty_valley,Dougherty Valley,Dougherty Valley,,,
school_san_ramon_valley,San Ramon Valley,San Ramon Valley,,,
school_george_washington,George Washington,George Washington,,,
school_hayward,Hayward,Hayward,,,
school_monte_vista,Monte Vista,Monte Vista,,,
school_livermore,Livermore,Livermore,,,
school_antioch,Antioch,Antioch,,,
school_pajaro_valley,Pajaro Valley,Pajaro Valley,,,
school_arroyo_(nc),Arroyo (NC),Arroyo (NC),,,
school_benicia,Benicia,Benicia,,,
school_pittsburg,Pittsburg,Pittsburg,,,
school_piedmont,Piedmont,Piedmont,,,
school_college_preparatory,College Preparatory,College Preparatory,,,
school_carondelet,Carondelet,Carondelet,,,
school_acalanes,Acalanes,Acalanes,,,
school_oakland_tech,Oakland Tech,Oakland Tech,,,
school_windsor,Windsor,Windsor,,,
school_archie_williams,Archie Williams,Archie Williams,,,
school_nueva,Nueva,Nueva,,,
school_emerald,Emerald,Emerald,,,
school_head-royce,Head-Royce,Head-Royce,,,
school_st_helena,St Helena,St Helena,,,
school_alhambra_(martinez),Alhambra (Martinez),Alhambra (Martinez),,,
school_berean_christian,Berean Christian,Berean Christian,,,
school_cloverdale,Cloverdale,Cloverdale,,,
school_san_domenico,San Domenico,San Domenico,,,
school_oakland_military_institute,Oakland Military Institute,Oakland Military Institute,,,
school_contra_costa_christian,Contra Costa Christian,Contra Costa Christian,,,
school_summit_tamalpais,Summit Tamalpais,Summit Tamalpais,,,
school_apostles_lutheran,Apostles Lutheran,Apostles Lutheran,,,
school_st_mary's_college,St Mary's College,St Mary's College,,,
school_coliseum_college_prep,Coliseum College Prep,Coliseum College Prep,,,
school_st_joseph_notre_dame,St Joseph Notre Dame,St Joseph Notre Dame,,,
school_marin_academy,Marin Academy,Marin Academy,,,
school_the_kehillah_school,The Kehillah School,The Kehillah School,,,
