athletic_net_id,name,short_name,city,state,league
school_davis,Davis,Davis,,,
school_los_altos,Los Altos,Los Altos,,,
school_granada,Granada,Granada,,,
school_carondelet,Carondelet,Carondelet,,,
school_miramonte,Miramonte,Miramonte,,,
school_sacred_heart_cathedral,Sacred Heart Cathedral,Sacred Heart Cathedral,,,
school_archie_williams,Archie Williams,Archie Williams,,,
school_piedmont,Piedmont,Piedmont,,,
school_los_gatos,Los Gatos,Los Gatos,,,
school_college_park,College Park,College Park,,,
school_franklin_(eg),Franklin (EG),Franklin (EG),,,
school_rodriguez,Rodriguez,Rodriguez,,,
school_evergreen_valley,Evergreen Valley,Evergreen Valley,,,
school_foothill_(pleasanton),Foothill (Pleasanton),Foothill (Pleasanton),,,
school_california_(san_ramon),California (San Ramon),California (San Ramon),,,
school_branham,Branham,Branham,,,
school_archbishop_mitty,Archbishop Mitty,Archbishop Mitty,,,
school_dublin,Dublin,Dublin,,,
school_redwood_(larkspur),Redwood (Larkspur),Redwood (Larkspur),,,
school_clayton_valley,Clayton Valley,Clayton Valley,,,
school_tamalpais,Tamalpais,Tamalpais,,,
school_willow_glen,Willow Glen,Willow Glen,,,
school_dougherty_valley,Dougherty Valley,Dougherty Valley,,,
school_crystal_springs_uplands,Crystal Springs Uplands,Crystal Springs Uplands,,,
school_de_la_salle,De La Salle,De La Salle,,,
school_linden,Linden,Linden,,,
school_monte_vista,Monte Vista,Monte Vista,,,
school_las_lomas,Las Lomas,Las Lomas,,,
school_mira_loma,Mira Loma,Mira Loma,,,
school_elk_grove,Elk Grove,Elk Grove,,,
school_ygnacio_valley,Ygnacio Valley,Ygnacio Valley,,,
school_castilleja,Castilleja,Castilleja,,,
school_bishop_o'dowd,Bishop O'Dowd,Bishop O'Dowd,,,
school_milpitas,Milpitas,Milpitas,,,
school_pleasant_valley,Pleasant Valley,Pleasant Valley,,,
school_livermore,Livermore,Livermore,,,
school_woodside_priory,Woodside Priory,Woodside Priory,,,
school_leigh,Leigh,Leigh,,,
school_emerald,Emerald,Emerald,,,
school_saratoga,Saratoga,Saratoga,,,
school_menlo,Menlo,Menlo,,,
school_head-royce,Head-Royce,Head-Royce,,,
school_branson,Branson,Branson,,,
school_hillbrook,Hillbrook,Hillbrook,,,
school_concord,Concord,Concord,,,
school_monte_vista_christian,Monte Vista Christian,Monte Vista Christian,,,
school_san_leandro,San Leandro,San Leandro,,,
school_marin_catholic,Marin Catholic,Marin Catholic,,,
school_napa,Napa,Napa,,,
school_st._john_bosco,St. John Bosco,St. John Bosco,,,
school_trinity,Trinity,Trinity,,,
