athletic_net_race_id,meet_athletic_net_id,name,gender,distance_meters,race_type,course_name
1072567,254535,Mens 2.95 Miles Varsity,M,4747,Varsity,"Crystal Springs, 2.95 Miles"
1072568,254535,Womens 2.95 Miles Varsity,F,4747,Varsity,"Crystal Springs, 2.95 Miles"
1072569,254535,Mens 2.95 Miles Championship,M,4747,Other,"Crystal Springs, 2.95 Miles"
1072570,254535,Womens 2.95 Miles Championship,F,4747,Other,"Crystal Springs, 2.95 Miles"
1072571,254535,Mens 2.95 Miles Junior Varsity Blue,M,4747,JV,"Crystal Springs, 2.95 Miles"
1072572,254535,Womens 2.95 Miles Junior Varsity,F,4747,JV,"Crystal Springs, 2.95 Miles"
1072573,254535,Mens 2.95 Miles Junior Varsity Gold,M,4747,JV,"Crystal Springs, 2.95 Miles"
1072574,254535,Womens 2.95 Miles Frosh/Soph,F,4747,Frosh,"Crystal Springs, 2.95 Miles"
1072575,254535,Mens 2.95 Miles Sophomore,M,4747,Sophomore,"Crystal Springs, 2.95 Miles"
1072576,254535,Mens 2.95 Miles Freshman,M,4747,Frosh,"Crystal Springs, 2.95 Miles"
