athletic_net_race_id,meet_athletic_net_id,name,gender,distance_meters,race_type,course_name
1024142,257746,Mens 3 Miles Varsity,M,4828,Varsity,"Hayward High School, 3 Miles"
1024143,257746,Mens 3 Miles Junior Varsity,M,4828,JV,"Hayward High School, 3 Miles"
1024144,257746,Womens 3 Miles Varsity,F,4828,Varsity,"Hayward High School, 3 Miles"
1024145,257746,Womens 3 Miles Junior Varsity,F,4828,JV,"Hayward High School, 3 Miles"
1024146,257746,Mens 3 Miles Open Freshmen,M,4828,Frosh,"Hayward High School, 3 Miles"
1024147,257746,Mens 3 Miles Frosh/Soph,M,4828,Frosh,"Hayward High School, 3 Miles"
1024148,257746,Womens 3 Miles Open,F,4828,Other,"Hayward High School, 3 Miles"
1024150,257746,Mens 3 Miles Open 10-12,M,4828,Other,"Hayward High School, 3 Miles"
1024151,257746,Mens 2.25 Miles Will Matthew,M,3621,Other,"Hayward High School, 3 Miles"
1024152,257746,Womens 2.25 Miles Will Matthew,F,3621,Other,"Hayward High School, 3 Miles"
