athletic_net_id,name,short_name,city,state,league
school_el_toro,El Toro,El Toro,,,
school_classical_acad.,Classical Acad.,Classical Acad.,,,
school_bonita,Bonita,Bonita,,,
school_sacred_heart_cathedral_(sf),Sacred Heart Cathedral (sf),Sacred Heart Cathedral (sf),,,
school_agoura,Agoura,Agoura,,,
school_santiago_(gg),Santiago (gg),Santiago (gg),,,
school_arroyo_(em),Arroyo (em),Arroyo (em),,,
school_corona_del_mar,Corona del Mar,Corona del Mar,,,
school_whittier,Whittier,Whittier,,,
school_west_hills,West Hills,West Hills,,,
school_edison_(hb),Edison (hb),Edison (hb),,,
school_santa_ana_valley,Santa Ana Valley,Santa Ana Valley,,,
school_savanna,Savanna,Savanna,,,
school_don_lugo,Don Lugo,Don Lugo,,,
school_norte_vista,Norte Vista,Norte Vista,,,
school_gahr,Gahr,Gahr,,,
school_will_c._wood,Will C. Wood,Will C. Wood,,,
school_shafter,Shafter,Shafter,,,
school_pacifica_(gg),Pacifica (gg),Pacifica (gg),,,
school_oak_park,Oak Park,Oak Park,,,
school_gabrielino,Gabrielino,Gabrielino,,,
school_cienega_(az),Cienega (AZ),Cienega (AZ),,,
school_godinez,Godinez,Godinez,,,
school_royal,Royal,Royal,,,
school_shadow_hills,Shadow Hills,Shadow Hills,,,
school_torrance,Torrance,Torrance,,,
school_milken_community,Milken Community,Milken Community,,,
school_buena_park,Buena Park,Buena Park,,,
school_diamond_ranch,Diamond Ranch,Diamond Ranch,,,
school_sierra_vista,Sierra Vista,Sierra Vista,,,
school_wilson_(hh),Wilson (hh),Wilson (hh),,,
school_calabasas,Calabasas,Calabasas,,,
school_tustin,Tustin,Tustin,,,
school_ramona_(riv),Ramona (riv),Ramona (riv),,,
school_simi_valley,Simi Valley,Simi Valley,,,
school_san_gorgonio,San Gorgonio,San Gorgonio,,,
school_granite_hills_(av),Granite Hills (av),Granite Hills (av),,,
school_yorba_linda,Yorba Linda,Yorba Linda,,,
school_compton,Compton,Compton,,,
school_south_hills,South Hills,South Hills,,,
school_saddleback,Saddleback,Saddleback,,,
school_indian_springs,Indian Springs,Indian Springs,,,
school_temple_city,Temple City,Temple City,,,
school_jurupa_hills,Jurupa Hills,Jurupa Hills,,,
school_lawndale,Lawndale,Lawndale,,,
school_dana_hills,Dana Hills,Dana Hills,,,
school_san_fernando,San Fernando,San Fernando,,,
school_canoga_park,Canoga Park,Canoga Park,,,
school_rancho_alamitos,Rancho Alamitos,Rancho Alamitos,,,
school_santa_paula,Santa Paula,Santa Paula,,,
school_los_altos,Los Altos,Los Altos,,,
school_ramona_(ram),Ramona (ram),Ramona (ram),,,
school_buena,Buena,Buena,,,
school_el_capitan,El Capitan,El Capitan,,,
school_university_city_(sd),University City (sd),University City (sd),,,
school_rosemead,Rosemead,Rosemead,,,
school_wasco,Wasco,Wasco,,,
school_orange,Orange,Orange,,,
school_sherman_oaks_ces,Sherman Oaks CES,Sherman Oaks CES,,,
school_hillcrest_(riv),Hillcrest (riv),Hillcrest (riv),,,
school_hoover,Hoover,Hoover,,,
school_mayfair,Mayfair,Mayfair,,,
school_santa_barbara,Santa Barbara,Santa Barbara,,,
school_san_bernardino,San Bernardino,San Bernardino,,,
school_vista,Vista,Vista,,,
school_monroe,Monroe,Monroe,,,
school_kaiser,Kaiser,Kaiser,,,
school_excelsior_education_center,Excelsior Education Center,Excelsior Education Center,,,
school_oceanside,Oceanside,Oceanside,,,
school_azusa,Azusa,Azusa,,,
school_littlerock,Littlerock,Littlerock,,,
school_yeshiva,Yeshiva,Yeshiva,,,
school_hawthorne,Hawthorne,Hawthorne,,,
school_chaminade,Chaminade,Chaminade,,,
school_san_gabriel,San Gabriel,San Gabriel,,,
school_del_oro,Del Oro,Del Oro,,,
school_mission_vista,Mission Vista,Mission Vista,,,
school_carter,Carter,Carter,,,
school_montebello,Montebello,Montebello,,,
school_st._augustine,St. Augustine,St. Augustine,,,
school_el_diamante,El Diamante,El Diamante,,,
school_casa_grande,Casa Grande,Casa Grande,,,
school_vista_grande(az),Vista Grande(AZ),Vista Grande(AZ),,,
school_escondido,Escondido,Escondido,,,
school_shalhevet,Shalhevet,Shalhevet,,,
school_san_dimas,San Dimas,San Dimas,,,
school_fillmore,Fillmore,Fillmore,,,
school_santa_ynez,Santa Ynez,Santa Ynez,,,
school_san_marino,San Marino,San Marino,,,
school_cal._acad._math/science,Cal. Acad. Math/Science,Cal. Acad. Math/Science,,,
school_oakmont,Oakmont,Oakmont,,,
school_foothill_technology_(ven),Foothill Technology (ven),Foothill Technology (ven),,,
school_paradise_honors(az),Paradise Honors(AZ),Paradise Honors(AZ),,,
school_oxford_academy,Oxford Academy,Oxford Academy,,,
school_mater_dei_catholic,Mater Dei Catholic,Mater Dei Catholic,,,
school_notre_dame_(so),Notre Dame (so),Notre Dame (so),,,
school_half_moon_bay,Half Moon Bay,Half Moon Bay,,,
school_el_monte,El Monte,El Monte,,,
school_el_segundo,El Segundo,El Segundo,,,
school_los_amigos,Los Amigos,Los Amigos,,,
school_banning_(ban),Banning (ban),Banning (ban),,,
school_western_christian,Western Christian,Western Christian,,,
school_templeton,Templeton,Templeton,,,
school_st._francis_(lc),St. Francis (lc),St. Francis (lc),,,
school_cathedral_city_(cc),Cathedral City (cc),Cathedral City (cc),,,
school_estancia,Estancia,Estancia,,,
school_damien,Damien,Damien,,,
school_edgewood,Edgewood,Edgewood,,,
