athletic_net_id,name,short_name,city,state,league
school_jesuit,Jesuit,Jesuit,,,
school_buchanan,Buchanan,Buchanan,,,
school_jenkins_running_crew,JENKINS RUNNING CREW,JENKINS RUNNING CREW,,,
school_spanish_springs,Spanish Springs,Spanish Springs,,,
school_reno,Reno,Reno,,,
school_davis,Davis,Davis,,,
school_river_city,River City,River City,,,
school_galena,Galena,Galena,,,
school_amador_valley,Amador Valley,Amador Valley,,,
school_clovis_east,Clovis East,Clovis East,,,
school_carson,Carson,Carson,,,
school_napa,Napa,Napa,,,
school_damonte_ranch,Damonte Ranch,Damonte Ranch,,,
school_north_valleys,North Valleys,North Valleys,,,
school_mira_loma,Mira Loma,Mira Loma,,,
school_carlmont,Carlmont,Carlmont,,,
school_inderkum,Inderkum,Inderkum,,,
school_bishop_manogue,Bishop Manogue,Bishop Manogue,,,
school_enterprise,Enterprise,Enterprise,,,
school_west_park,West Park,West Park,,,
school_mcqueen,McQueen,McQueen,,,
school_whitney,Whitney,Whitney,,,
school_reed,Reed,Reed,,,
school_sheldon_(ca),Sheldon (CA),Sheldon (CA),,,
school_lodi,Lodi,Lodi,,,
school_chico,Chico,Chico,,,
school_douglas,Douglas,Douglas,,,
school_foothill_(palo_cedro),Foothill (Palo Cedro),Foothill (Palo Cedro),,,
school_union_mine,Union Mine,Union Mine,,,
school_el_dorado,El Dorado,El Dorado,,,
school_christian_brothers,Christian Brothers,Christian Brothers,,,
school_rosemont,Rosemont,Rosemont,,,
school_pioneer,Pioneer,Pioneer,,,
school_lincoln-l,Lincoln-L,Lincoln-L,,,
school_trinity,Trinity,Trinity,,,
school_destiny_christian_academy,Destiny Christian Academy,Destiny Christian Academy,,,
school_montgomery,Montgomery,Montgomery,,,
school_ripon,Ripon,Ripon,,,
school_calaveras,Calaveras,Calaveras,,,
school_chesterton_academy_of_sacramento,Chesterton Academy of Sacramento,Chesterton Academy of Sacramento,,,
school_western_sierra_collegiate_academy,Western Sierra Collegiate Academy,Western Sierra Collegiate Academy,,,
school_westlake_charter,Westlake Charter,Westlake Charter,,,
school_alder_creek,Alder Creek,Alder Creek,,,
school_miwok,Miwok,Miwok,,,
school_bradshaw_christian,Bradshaw Christian,Bradshaw Christian,,,
school_joseph_kerr,Joseph Kerr,Joseph Kerr,,,
school_holmes,Holmes,Holmes,,,
school_elizabeth_pinkerton,Elizabeth Pinkerton,Elizabeth Pinkerton,,,
school_john_adams_(lincoln),John Adams (Lincoln),John Adams (Lincoln),,,
school_cooley,Cooley,Cooley,,,
school_saint_clares_tahoe,Saint Clares Tahoe,Saint Clares Tahoe,,,
school_shasta,Shasta,Shasta,,,
school_sierra,Sierra,Sierra,,,
school_colfax,Colfax,Colfax,,,
school_incline,Incline,Incline,,,
school_foothill_(sacramento),Foothill (Sacramento),Foothill (Sacramento),,,
school_twelve_bridges,Twelve Bridges,Twelve Bridges,,,
school_np3,NP3,NP3,,,
school_turlock_christian,Turlock Christian,Turlock Christian,,,
school_el_camino_(sacramento),El Camino (Sacramento),El Camino (Sacramento),,,
school_cristo_rey_(sacramento),Cristo Rey (Sacramento),Cristo Rey (Sacramento),,,
school_sacramento_valley_endurance,Sacramento Valley Endurance,Sacramento Valley Endurance,,,
school_junior_striders,Junior Striders,Junior Striders,,,
school_delta_hawks,Delta Hawks,Delta Hawks,,,
school_napa_valley_sprint,Napa Valley Sprint,Napa Valley Sprint,,,
school_stockton_rising_club,Stockton Rising Club,Stockton Rising Club,,,
school_buffalo_chips_running,Buffalo Chips Running,Buffalo Chips Running,,,
school_azteca_fc,Azteca FC,Azteca FC,,,
school_davis_community_track_&_field_club,Davis Community Track & Field Club,Davis Community Track & Field Club,,,
school_correr_sin_fronteras,Correr Sin Fronteras,Correr Sin Fronteras,,,
school_fastfast_track_club,FastFast Track Club,FastFast Track Club,,,
school_the_distance_project,The Distance Project,The Distance Project,,,
school_the_factory,The Factory,The Factory,,,
school_carmichael_running_club,Carmichael Running Club,Carmichael Running Club,,,
school_rancho_cordova_-_rctc,Rancho Cordova - RCTC,Rancho Cordova - RCTC,,,
school_summerville,Summerville,Summerville,,,
school_florin,Florin,Florin,,,
school_justin-siena,Justin-Siena,Justin-Siena,,,
school_lowry,Lowry,Lowry,,,
school_orestimba,Orestimba,Orestimba,,,
school_john_adams_academy_(roseville),John Adams Academy (Roseville),John Adams Academy (Roseville),,,
school_core_butte,CORE Butte,CORE Butte,,,
school_vacaville_christian,Vacaville Christian,Vacaville Christian,,,
school_dixon,Dixon,Dixon,,,
school_middletown,Middletown,Middletown,,,
school_adventure_christian,Adventure Christian,Adventure Christian,,,
school_leroy_greene_academy,Leroy Greene Academy,Leroy Greene Academy,,,
school_hope,Hope,Hope,,,
school_sage_ridge,Sage Ridge,Sage Ridge,,,
school_rio_vista,Rio Vista,Rio Vista,,,
school_lindhurst,Lindhurst,Lindhurst,,,
school_center,Center,Center,,,
school_north_tahoe,North Tahoe,North Tahoe,,,
school_harriet_eddy,Harriet Eddy,Harriet Eddy,,,
school_california,California,California,,,
school_william_land_elementary,William Land Elementary,William Land Elementary,,,
school_mckenney_intermediate,McKenney Intermediate,McKenney Intermediate,,,
school_edward_harris,Edward Harris,Edward Harris,,,
school_golden_valley_charter,Golden Valley Charter,Golden Valley Charter,,,
school_st_isidore_catholic,St Isidore Catholic,St Isidore Catholic,,,
school_genevieve_f._didion,Genevieve F. Didion,Genevieve F. Didion,,,
school_yuba_gardens,Yuba Gardens,Yuba Gardens,,,
school_st._rose,St. Rose,St. Rose,,,
school_alice_birney,Alice Birney,Alice Birney,,,
