athletic_net_race_id,meet_athletic_net_id,name,gender,distance_meters,race_type,course_name
1027975,255929,Mens 2.3 Miles Freshman Small Schools,M,3701,Frosh,"Half Moon Bay High School, 2.3 Miles"
1027977,255929,Womens 2.3 Miles Frosh/Soph Small Schools,F,3701,Frosh,"Half Moon Bay High School, 2.3 Miles"
1027978,255929,Womens 2.3 Miles Junior Varsity Small Schools,F,3701,JV,"Half Moon Bay High School, 2.3 Miles"
1027979,255929,Mens 2.3 Miles Junior Varsity Small Schools,M,3701,JV,"Half Moon Bay High School, 2.3 Miles"
1027980,255929,Womens 2.3 Miles Varsity Small Schools,F,3701,Varsity,"Half Moon Bay High School, 2.3 Miles"
1028455,255929,Mens 2.3 Miles Varsity Small Schools,M,3701,Varsity,"Half Moon Bay High School, 2.3 Miles"
1028456,255929,Mens 2.3 Miles Freshman Large Schools,M,3701,Frosh,"Half Moon Bay High School, 2.3 Miles"
1028457,255929,Womens 2.3 Miles Frosh/Soph Large Schools,F,3701,Frosh,"Half Moon Bay High School, 2.3 Miles"
1028458,255929,Mens 2.3 Miles Frosh/Soph Large Schools,M,3701,Frosh,"Half Moon Bay High School, 2.3 Miles"
1028459,255929,Womens 2.3 Miles Junior Varsity Large Schools,F,3701,JV,"Half Moon Bay High School, 2.3 Miles"
1028460,255929,Mens 2.3 Miles Junior Varsity Large Schools,M,3701,JV,"Half Moon Bay High School, 2.3 Miles"
1028461,255929,Womens 2.3 Miles Varsity Large Schools,F,3701,Varsity,"Half Moon Bay High School, 2.3 Miles"
1028462,255929,Mens 2.3 Miles Varsity Large Schools,M,3701,Varsity,"Half Moon Bay High School, 2.3 Miles"
1069409,255929,Mens 2.3 Miles Sm Sch Soph,M,3701,Other,"Half Moon Bay High School, 2.3 Miles"
