athletic_net_race_id,meet_athletic_net_id,name,gender,distance_meters,race_type,course_name
1022628,257334,Mens 2.7 Miles Boys Varsity 1,M,4345,Varsity,"Westmoor High School, 2.7 Miles"
1022629,257334,Womens 2.7 Miles Girls Frosh / Soph 2,F,4345,Frosh,"Westmoor High School, 2.7 Miles"
1022630,257334,Mens 2.7 Miles Boys Frosh 2,M,4345,Frosh,"Westmoor High School, 2.7 Miles"
1022631,257334,Mens 2.7 Miles Boys Soph 2,M,4345,Other,"Westmoor High School, 2.7 Miles"
1022633,257334,Womens 2.7 Miles Girls Varsity 2,F,4345,Varsity,"Westmoor High School, 2.7 Miles"
1022634,257334,Mens 2.7 Miles Boys JV 2,M,4345,JV,"Westmoor High School, 2.7 Miles"
1022635,257334,Mens 2.7 Miles Boys Varsity 2,M,4345,Varsity,"Westmoor High School, 2.7 Miles"
1022636,257334,Womens 2.7 Miles Girls Varsity 1,F,4345,Varsity,"Westmoor High School, 2.7 Miles"
1022637,257334,Mens 2.7 Miles Boys JV 1,M,4345,JV,"Westmoor High School, 2.7 Miles"
1022638,257334,Womens 2.7 Miles Girls JV 1,F,4345,JV,"Westmoor High School, 2.7 Miles"
1022639,257334,Mens 2.7 Miles Boys Soph 1,M,4345,Other,"Westmoor High School, 2.7 Miles"
1022640,257334,Womens 2.7 Miles Girls Frosh / Soph 1,F,4345,Frosh,"Westmoor High School, 2.7 Miles"
1022641,257334,Mens 2.7 Miles Boys Frosh 1,M,4345,Frosh,"Westmoor High School, 2.7 Miles"
