athletic_net_race_id,meet_athletic_net_id,name,gender,distance_meters,race_type,course_name
1048906,256287,Mens 2.13 Miles Freshman 1,M,3427,Frosh,"Golden Gate Park, 2.13 Miles"
1048907,256287,Mens 2.13 Miles Freshman 2,M,3427,Frosh,"Golden Gate Park, 2.13 Miles"
1048908,256287,Womens 2.13 Miles Frosh/Soph 1,F,3427,Frosh,"Golden Gate Park, 2.13 Miles"
1048909,256287,Womens 2.13 Miles Frosh/Soph 2,F,3427,Frosh,"Golden Gate Park, 2.13 Miles"
1048910,256287,Mens 2.13 Miles Sophomore 1,M,3427,Sophomore,"Golden Gate Park, 2.13 Miles"
1048911,256287,Mens 2.13 Miles Sophomore 2,M,3427,Sophomore,"Golden Gate Park, 2.13 Miles"
1048912,256287,Mens 2.83 Miles Non Varsity 1,M,4554,Varsity,"Golden Gate Park, 2.83 Miles"
1048913,256287,Mens 2.83 Miles Non Varsity 2,M,4554,Varsity,"Golden Gate Park, 2.83 Miles"
1048914,256287,Womens 2.83 Miles Non Varsity,F,4554,Varsity,"Golden Gate Park, 2.83 Miles"
1048915,256287,Womens 2.83 Miles Varsity 1,F,4554,Varsity,"Golden Gate Park, 2.83 Miles"
1048916,256287,Womens 2.83 Miles Varsity 2,F,4554,Varsity,"Golden Gate Park, 2.83 Miles"
1048917,256287,Mens 2.83 Miles Varsity 1,M,4554,Varsity,"Golden Gate Park, 2.83 Miles"
1048918,256287,Mens 2.83 Miles Varsity 2,M,4554,Varsity,"Golden Gate Park, 2.83 Miles"
