athletic_net_id,name,short_name,city,state,league
school_de_la_salle,De La Salle,De La Salle,,,
school_homestead,Homestead,Homestead,,,
school_california_(san_ramon),California (San Ramon),California (San Ramon),,,
school_dougherty_valley,Dougherty Valley,Dougherty Valley,,,
school_antioch,Antioch,Antioch,,,
school_sacred_heart_cathedral,Sacred Heart Cathedral,Sacred Heart Cathedral,,,
school_oakland_tech,Oakland Tech,Oakland Tech,,,
school_foothill_(pleasanton),Foothill (Pleasanton),Foothill (Pleasanton),,,
school_athenian,Athenian,Athenian,,,
school_skyline,Skyline,Skyline,,,
school_berean_christian,Berean Christian,Berean Christian,,,
school_coliseum_college_prep,Coliseum College Prep,Coliseum College Prep,,,
school_dublin,Dublin,Dublin,,,
school_ripon_christian,Ripon Christian,Ripon Christian,,,
school_san_ramon_valley,San Ramon Valley,San Ramon Valley,,,
school_head-royce,Head-Royce,Head-Royce,,,
